Wall time,Step,Value
1685315587.9083555,249,0.0
1685315611.7995198,949,0.0
1685315628.9263349,1449,0.0
1685315649.9735024,2049,0.0
1685315705.7093003,2199,1.0
1685315728.0090742,2849,1.0
1685315729.738174,2899,1.0
1685315733.1824324,2999,1.0
1685315740.0820837,3199,1.0
1685315741.7961133,3249,1.0
1685315750.3744228,3499,1.0
1685315760.6097317,3799,1.0
1685315766.1717656,3949,1.0
1685315826.8195908,4199,2.0
1685315864.707747,5299,2.0
1685315945.4207478,6099,3.0
1685315948.7969952,6199,3.0
1685315952.215357,6299,3.0
1685315955.6267846,6399,3.0
1685315969.380768,6799,3.0
1685315976.2727332,6999,3.0
1685315996.8209326,7599,3.0
1685316087.4335327,8799,4.0
1685316094.3238425,8999,4.0
1685316116.6840901,9649,4.0
1685316139.6314201,10019,4.0
1685316185.9919107,10149,5.0
1685316192.863091,10349,5.0
1685316194.584574,10399,5.0
1685316229.2593915,11399,5.0
1685316230.9938784,11449,5.0
1685316316.0120406,12399,6.0
1685316322.8052545,12599,6.0
1685316346.9884665,13299,6.0
1685316355.5864546,13549,6.0
1685316357.3446,13599,6.0
1685316360.797368,13699,6.0
1685316364.4443514,13799,6.0
1685316366.1712205,13849,6.0
1685316371.2705805,13999,6.0
1685316447.7259164,14699,7.0
1685316454.6523833,14899,7.0
1685316482.2054477,15699,7.0
1685316487.6986322,15849,7.0
1685316492.8157198,15999,7.0
1685316554.1265457,16399,8.0
1685316562.67831,16649,8.0
1685316566.0979457,16749,8.0
1685316578.1539621,17099,8.0
1685316579.8738437,17149,8.0
1685316588.5054708,17399,8.0
1685316595.3420572,17599,8.0
1685316682.4901547,18649,9.0
1685316706.5731223,19349,9.0
1685316722.0493944,19799,9.0
1685316777.5175295,19999,10.0
1685316788.0493805,20299,10.0
1685316800.0503738,20649,10.0
1685316801.768715,20699,10.0
1685316803.4845345,20749,10.0
1685316812.0948365,20999,10.0
1685316822.52311,21299,10.0
1685316893.1227567,21899,11.0
1685316914.2441404,22499,11.0
1685316917.6813989,22599,11.0
1685316922.8448443,22749,11.0
1685316940.0247893,23249,11.0
1685316948.6261792,23499,11.0
1685317012.2269301,23849,12.0
1685317015.6571732,23949,12.0
1685317019.0998783,24049,12.0
1685317023.0397332,24149,12.0
