Wall time,Step,Value
1684491427.5860665,49,0.0
1684491466.5201628,99,0.0
1684491505.9981704,149,0.0
1684491545.5314324,199,0.0
1684491584.4285629,249,0.0
1684491622.4331756,260,0.0
1684491672.234795,299,1.0
1684491711.289925,349,1.0
1684491750.6856842,399,1.0
1684491790.0233254,449,1.0
1684491828.6588132,499,1.0
1684491860.1722007,505,1.0
1684491946.6880236,549,2.0
1684491986.294109,599,2.0
1684492025.2691672,649,2.0
1684492064.2789712,699,2.0
1684492103.499191,749,2.0
1684492133.535972,753,2.0
1684492226.0127568,799,3.0
1684492265.1349592,849,3.0
1684492304.0658462,899,3.0
1684492343.604695,949,3.0
1684492382.7538311,999,3.0
1684492426.696654,1018,3.0
1684492503.255828,1049,4.0
1684492542.5857627,1099,4.0
1684492581.319956,1149,4.0
1684492620.3264742,1199,4.0
1684492659.355577,1249,4.0
1684492686.2986221,1250,4.0
1684492778.0038505,1299,5.0
1684492817.1681333,1349,5.0
1684492855.9771986,1399,5.0
1684492895.1086175,1449,5.0
1684492934.239392,1499,5.0
1684492971.2926593,1510,5.0
1684493054.6473367,1549,6.0
1684493093.5938618,1599,6.0
1684493132.9176548,1649,6.0
1684493172.523476,1699,6.0
1684493211.4193525,1749,6.0
1684493247.4883127,1760,6.0
1684493328.734881,1799,7.0
1684493368.0932808,1849,7.0
1684493407.5650697,1899,7.0
1684493446.5271888,1949,7.0
1684493485.8713424,1999,7.0
1684493524.5604157,2012,7.0
1684493600.6544988,2049,8.0
1684493639.646178,2099,8.0
1684493678.9826374,2149,8.0
1684493718.0540202,2199,8.0
1684493773.712617,2237,8.0
1684493840.3745933,2249,9.0
1684493879.1521227,2299,9.0
1684493918.1247714,2349,9.0
1684493957.4570165,2399,9.0
1684493996.3813477,2449,9.0
1684494046.361824,2479,9.0
1684494111.1586325,2499,10.0
1684494151.05374,2549,10.0
1684494190.180798,2599,10.0
1684494229.0385342,2649,10.0
1684494268.4819686,2699,10.0
1684494293.822725,2701,10.0
1684494384.9820309,2749,11.0
1684494424.3900301,2799,11.0
1684494463.2420907,2849,11.0
1684494502.5312433,2899,11.0
1684494541.5293486,2949,11.0
1684494570.705037,2951,11.0
1684494662.928833,2999,12.0
1684494701.9922862,3049,12.0
1684494741.2410984,3099,12.0
1684494780.125704,3149,12.0
1684494819.433794,3199,12.0
1684494851.1377485,3203,12.0
1684494941.6414955,3249,13.0
1684494981.3163915,3299,13.0
1684495020.0816903,3349,13.0
1684495059.9237742,3399,13.0
1684495099.5647626,3449,13.0
1684495143.2438748,3467,13.0
1684495212.4391723,3499,14.0
1684495251.3359902,3549,14.0
1684495290.9235811,3599,14.0
1684495330.5284188,3649,14.0
1684495369.3768988,3699,14.0
1684495407.4639862,3713,14.0
1684495483.9593434,3749,15.0
1684495523.231969,3799,15.0
1684495561.9671664,3849,15.0
1684495601.2703729,3899,15.0
1684495640.6703992,3949,15.0
1684495708.7115061,3996,15.0
1684495763.634005,3999,16.0
1684495802.4089918,4049,16.0
1684495841.7886028,4099,16.0
1684495881.0212154,4149,16.0
1684495919.7465487,4199,16.0
1684495959.0763848,4249,16.0
1684495997.9679883,4261,16.0
1684496081.388191,4299,17.0
1684496120.934963,4349,17.0
1684496159.7391539,4399,17.0
1684496198.7777264,4449,17.0
1684496238.011939,4499,17.0
1684496300.146218,4540,17.0
1684496355.9893289,4549,18.0
1684496394.816117,4599,18.0
1684496434.2784576,4649,18.0
1684496473.754537,4699,18.0
1684496512.5827725,4749,18.0
1684496551.612686,4799,18.0
1684496583.9619598,4803,18.0
1684496670.7226126,4849,19.0
1684496709.8681498,4899,19.0
1684496748.7842526,4949,19.0
1684496788.0464916,4999,19.0
1684496827.2124956,5049,19.0
1684496875.6754675,5074,19.0
1684496944.1941173,5099,20.0
1684496983.4818184,5149,20.0
1684497022.8592758,5199,20.0
1684497061.7148337,5249,20.0
1684497100.735391,5299,20.0
1684497150.6982887,5327,20.0
1684497213.6533797,5349,21.0
1684497253.4439242,5399,21.0
1684497292.1778333,5449,21.0
1684497331.9184356,5499,21.0
1684497371.398281,5549,21.0
1684497416.791289,5573,21.0
1684497504.8805423,5599,22.0
1684497544.1087527,5649,22.0
1684497583.1082864,5699,22.0
1684497622.5166595,5749,22.0
1684497661.4258876,5799,22.0
1684497700.6772206,5849,22.0
1684497739.9061787,5899,22.0
1684497808.006611,5935,22.0
1684497873.0407333,5949,23.0
1684497912.5525184,5999,23.0
1684497951.1565971,6049,23.0
1684497990.7226427,6099,23.0
1684498030.049552,6149,23.0
1684498095.9227881,6196,23.0
1684498145.5949466,6199,24.0
1684498184.4941597,6249,24.0
1684498223.9699235,6299,24.0
1684498263.1458344,6349,24.0
1684498302.061092,6399,24.0
1684498361.9714432,6441,24.0
1684498418.4641159,6449,25.0
1684498457.7017865,6499,25.0
1684498496.561363,6549,25.0
1684498536.0681775,6599,25.0
1684498575.2657073,6649,25.0
1684498634.2685804,6689,25.0
1684498694.3406017,6699,26.0
1684498733.3844805,6749,26.0
1684498772.8938794,6799,26.0
1684498812.3500674,6849,26.0
1684498851.214754,6899,26.0
1684498890.6811779,6949,26.0
1684498924.6048934,6954,26.0
1684499007.519503,6999,27.0
1684499046.7342944,7049,27.0
1684499085.7263112,7099,27.0
1684499125.1410763,7149,27.0
1684499180.2870622,7186,27.0
1684499242.3417277,7199,28.0
1684499281.5318134,7249,28.0
1684499321.0429628,7299,28.0
1684499360.2478323,7349,28.0
1684499398.9979985,7399,28.0
1684499465.7703645,7446,28.0
1684499517.249539,7449,29.0
1684499556.6126244,7499,29.0
1684499596.126956,7549,29.0
1684499634.9453588,7599,29.0
1684499674.8353946,7649,29.0
1684499739.868942,7696,29.0
1684499793.5253832,7699,30.0
1684499832.9482195,7749,30.0
1684499872.4412673,7799,30.0
1684499912.001438,7849,30.0
1684499951.5162172,7899,30.0
1684500017.7805507,7948,30.0
1684500064.1087751,7949,31.0
1684500103.3688757,7999,31.0
1684500143.2225213,8049,31.0
1684500182.2831404,8099,31.0
1684500221.6013496,8149,31.0
1684500265.6144543,8173,31.0
1684500337.8776367,8199,32.0
1684500377.638209,8249,32.0
1684500416.7733598,8299,32.0
1684500456.333598,8349,32.0
1684500495.4340103,8399,32.0
1684500534.3252008,8415,32.0
1684500608.5227184,8449,33.0
1684500647.5958936,8499,33.0
1684500687.0709064,8549,33.0
1684500726.6938975,8599,33.0
1684500780.2952754,8637,33.0
1684500839.9736712,8649,34.0
1684500879.5857718,8699,34.0
1684500918.882992,8749,34.0
1684500957.8505483,8799,34.0
1684500997.2134306,8849,34.0
1684501054.631842,8887,34.0
1684501112.8121955,8899,35.0
1684501152.2667258,8949,35.0
1684501191.0270138,8999,35.0
1684501230.6221404,9049,35.0
1684501270.1481907,9099,35.0
1684501329.4457295,9139,35.0
1684501391.5685408,9149,36.0
1684501430.520616,9199,36.0
1684501469.8474703,9249,36.0
1684501508.9209394,9299,36.0
1684501547.7366729,9349,36.0
1684501586.825455,9399,36.0
1684501619.087932,9403,36.0
1684501706.1593676,9449,37.0
1684501745.9210856,9499,37.0
1684501785.0175035,9549,37.0
1684501824.4962234,9599,37.0
1684501891.3914998,9649,37.0
1684501983.4739408,9699,38.0
1684502023.3047695,9749,38.0
1684502062.7082307,9799,38.0
1684502101.6896744,9849,38.0
1684502141.2087922,9899,38.0
1684502198.453193,9932,38.0
1684502267.1949716,9949,39.0
1684502306.653027,9999,39.0
1684502346.0684104,10049,39.0
1684502385.0027714,10099,39.0
1684502424.7461398,10149,39.0
1684502491.8197055,10197,39.0
1684502546.2131445,10199,40.0
1684502585.9286387,10249,40.0
1684502625.0619435,10299,40.0
1684502664.3772037,10349,40.0
1684502703.5212693,10399,40.0
1684502742.3973916,10449,40.0
1684502794.4022086,10476,40.0
1684502861.5993612,10499,41.0
1684502901.0716918,10549,41.0
1684502939.983348,10599,41.0
1684502979.344127,10649,41.0
1684503018.7560272,10699,41.0
1684503079.66962,10739,41.0
1684503140.0990062,10749,42.0
1684503178.9702308,10799,42.0
1684503218.3720562,10849,42.0
1684503258.098279,10899,42.0
1684503297.1927133,10949,42.0
1684503336.6780365,10999,42.0
1684503375.5997415,11010,42.0
1684503453.398918,11049,43.0
1684503492.7531161,11099,43.0
1684503531.5483255,11149,43.0
1684503571.3016815,11199,43.0
1684503610.4889653,11249,43.0
1684503649.1960597,11263,43.0
1684503722.2548547,11299,44.0
1684503761.562574,11349,44.0
1684503801.1391625,11399,44.0
1684503840.0577025,11449,44.0
1684503879.6204731,11499,44.0
1684503914.9281845,11509,44.0
1684504010.5637026,11549,45.0
1684504049.9687798,11599,45.0
1684504089.010698,11649,45.0
1684504128.0404499,11699,45.0
1684504167.5011678,11749,45.0
1684504206.755219,11799,45.0
1684504245.6951718,11849,45.0
1684504302.8646197,11871,45.0
1684504378.324646,11899,46.0
1684504417.5458748,11949,46.0
1684504456.8586168,11999,46.0
1684504495.801809,12049,46.0
1684504534.8888075,12099,46.0
1684504590.113976,12132,46.0
1684504651.5710516,12149,47.0
1684504691.463493,12199,47.0
1684504730.3832817,12249,47.0
1684504769.8300087,12299,47.0
1684504809.1366403,12349,47.0
1684504857.3039346,12377,47.0
1684504928.6510625,12399,48.0
1684504967.7101388,12449,48.0
1684505007.1364212,12499,48.0
1684505046.616317,12549,48.0
1684505085.312306,12599,48.0
1684505133.3882895,12625,48.0
1684505206.794702,12649,49.0
1684505245.9869251,12699,49.0
1684505285.3722918,12749,49.0
1684505324.3067372,12799,49.0
1684505363.975389,12849,49.0
1684505425.552987,12890,49.0
1684505480.0504582,12899,50.0
1684505519.2155805,12949,50.0
1684505558.4097455,12999,50.0
1684505597.6100876,13049,50.0
1684505636.2545114,13099,50.0
1684505680.0474448,13122,50.0
1684505751.5888128,13149,51.0
1684505790.896947,13199,51.0
1684505830.5457199,13249,51.0
1684505869.2907627,13299,51.0
1684505908.8092659,13349,51.0
1684505963.6971698,13382,51.0
1684506025.8851585,13399,52.0
1684506065.397984,13449,52.0
1684506104.2857025,13499,52.0
1684506143.6324737,13549,52.0
1684506182.8312337,13599,52.0
1684506235.9708223,13632,52.0
1684506298.5157247,13649,53.0
1684506338.1373732,13699,53.0
1684506377.623231,13749,53.0
1684506416.5331523,13799,53.0
1684506455.9587326,13849,53.0
1684506510.8675861,13884,53.0
1684506570.6999679,13899,54.0
1684506610.2376337,13949,54.0
1684506649.0312335,13999,54.0
1684506688.3717577,14049,54.0
1684506727.7709632,14099,54.0
1684506759.7596004,14109,54.0
1684506843.0287182,14149,55.0
1684506881.9608886,14199,55.0
1684506921.1506145,14249,55.0
1684506959.942473,14299,55.0
1684506998.8620462,14349,55.0
1684507027.8021977,14351,55.0
1684507110.9129121,14399,56.0
1684507150.166003,14449,56.0
1684507189.0274968,14499,56.0
1684507228.5470002,14549,56.0
1684507272.5367005,14573,56.0
1684507344.4006338,14599,57.0
1684507383.8774147,14649,57.0
1684507422.5355103,14699,57.0
1684507462.1701698,14749,57.0
1684507501.011527,14799,57.0
1684507547.053188,14823,57.0
1684507618.5284865,14849,58.0
1684507658.1277726,14899,58.0
1684507697.6870894,14949,58.0
1684507736.5468345,14999,58.0
1684507775.8947027,15049,58.0
1684507824.46393,15075,58.0
1684507892.1630113,15099,59.0
1684507931.6675665,15149,59.0
1684507970.2451046,15199,59.0
1684508009.6795764,15249,59.0
1684508049.059221,15299,59.0
1684508109.7399662,15339,59.0
1684508163.462695,15349,60.0
1684508202.5503504,15399,60.0
1684508242.0846992,15449,60.0
1684508280.8911479,15499,60.0
1684508320.2856257,15549,60.0
1684508375.3118055,15585,60.0
1684508437.8136735,15599,61.0
1684508477.3697839,15649,61.0
1684508516.3588562,15699,61.0
1684508556.2668848,15749,61.0
1684508595.6301453,15799,61.0
1684508634.6568103,15849,61.0
1684508680.4492722,15868,61.0
1684508761.506877,15899,62.0
1684508800.9432666,15949,62.0
1684508840.2306178,15999,62.0
1684508879.5438085,16049,62.0
1684508919.0364554,16099,62.0
1684508975.0090773,16133,62.0
1684509042.2231846,16149,63.0
1684509081.64349,16199,63.0
1684509120.5703547,16249,63.0
1684509159.8269343,16299,63.0
1684509199.228133,16349,63.0
1684509238.0218005,16399,63.0
1684509278.687535,16412,63.0
1684509357.1094685,16449,64.0
1684509396.4509804,16499,64.0
1684509435.6896029,16549,64.0
1684509474.4957078,16599,64.0
1684509513.6370962,16649,64.0
1684509562.9327652,16675,64.0
1684509635.5926945,16699,65.0
1684509674.818897,16749,65.0
1684509713.3975787,16799,65.0
1684509752.39929,16849,65.0
1684509791.9217384,16899,65.0
1684509858.5153596,16946,65.0
1684509909.5821145,16949,66.0
1684509948.315868,16999,66.0
1684509987.4655619,17049,66.0
1684510026.7292998,17099,66.0
1684510065.5299191,17149,66.0
1684510132.2515156,17199,66.0
1684510219.3819914,17249,67.0
1684510258.1387098,17299,67.0
1684510297.5178173,17349,67.0
1684510336.6616023,17399,67.0
1684510399.94809,17445,67.0
1684510468.7078695,17449,68.0
