Wall time,Step,Value
1684794152.2452965,49,0.0
1684794199.2167337,99,0.0
1684794246.8916128,149,0.0
1684794294.4229913,199,0.0
1684794342.8707213,249,0.0
1684794384.7113018,260,0.0
1684794469.2060792,299,1.0
1684794517.8924432,349,1.0
1684794566.8268127,399,1.0
1684794615.6661868,449,1.0
1684794664.8837025,499,1.0
1684794699.0705035,505,1.0
1684794792.659516,549,2.0
1684794841.2363408,599,2.0
1684794889.6571646,649,2.0
1684794937.9202654,699,2.0
1684794986.262535,749,2.0
1684795018.4015162,753,2.0
1684795116.3578022,799,3.0
1684795164.48632,849,3.0
1684795212.854613,899,3.0
1684795261.2112105,949,3.0
1684795309.7205985,999,3.0
1684795358.8323886,1018,3.0
1684795437.179087,1049,4.0
1684795485.5613463,1099,4.0
1684795534.2322953,1149,4.0
1684795582.4064395,1199,4.0
1684795630.3469787,1249,4.0
1684795657.7382562,1250,4.0
1684795753.3255947,1299,5.0
1684795801.079966,1349,5.0
1684795849.212065,1399,5.0
1684795897.3904018,1449,5.0
1684795945.3257055,1499,5.0
1684795986.2159464,1510,5.0
1684796070.2075417,1549,6.0
1684796118.2044086,1599,6.0
1684796166.1005366,1649,6.0
1684796213.7153618,1699,6.0
1684796261.5586975,1749,6.0
1684796300.651688,1760,6.0
1684796386.309502,1799,7.0
1684796434.0463188,1849,7.0
1684796482.2531989,1899,7.0
1684796530.2361119,1949,7.0
1684796577.9791906,1999,7.0
1684796619.3535287,2012,7.0
1684796701.4349377,2049,8.0
1684796749.726169,2099,8.0
1684796798.107943,2149,8.0
1684796846.1679373,2199,8.0
1684796908.6284456,2237,8.0
1684796972.2248952,2249,9.0
1684797020.7098937,2299,9.0
1684797068.6184769,2349,9.0
1684797116.5595748,2399,9.0
1684797164.4505181,2449,9.0
1684797221.1160986,2479,9.0
1684797286.9168227,2499,10.0
1684797335.2573535,2549,10.0
1684797383.2569733,2599,10.0
1684797431.4707668,2649,10.0
1684797479.106186,2699,10.0
1684797506.622108,2701,10.0
1684797601.0760517,2749,11.0
1684797649.182926,2799,11.0
1684797697.2271414,2849,11.0
1684797745.3417804,2899,11.0
1684797793.3096733,2949,11.0
