lr-AdamW,step,val_loss,val_acc_top1,val_acc_top5,val_acc_mean_pos,epoch,train_loss,train_acc_top1,train_acc_top5,train_acc_mean_pos
0.0003,0,,,,,,,,,
,34,3.7974772453308105,0.3126220703125,0.5196533203125,31.2095947265625,0,,,,
5.999999999999999e-06,35,,,,,,,,,
,49,,,,,1,3.768204689025879,0.3125,0.51953125,28.24609375
,71,3.605320930480957,0.3650173544883728,0.5590277910232544,26.06846809387207,1,,,,
0.0003,72,,,,,,,,,
,99,,,,,2,2.1358981132507324,0.580078125,0.79296875,8.9521484375
,108,2.071871757507324,0.5614149570465088,0.7898220419883728,6.681857585906982,2,,,,
5.999999999999999e-06,109,,,,,,,,,
,144,1.9690450429916382,0.5945095419883728,0.8025173544883728,6.70496940612793,3,,,,
0.0003,145,,,,,,,,,
,149,,,,,4,1.9610521793365479,0.6259765625,0.806640625,8.2802734375
,179,1.367490291595459,0.69921875,0.8856201171875,3.6119384765625,4,,,,
